problem_statement,problem_tags
Calculate the value of the sum As the result can be very large you should print the value modulo the remainder when divided by The modulo operator stands for the remainder after dividing by For example ,"[0, 1, 1, 0, 0]"
In the court of the Blue King Lelle and Flamm are having a performance match The match consists of several rounds In each round either Lelle or Flamm wins Let W L and W F denote the number of wins of Lelle and Flamm respectively The Blue King considers a match to be if and only if after every round gcd W L W F le 1 at the end of the match W L le n W F le m Note that gcd 0 x gcd x 0 x for every non negative integer x Lelle and Flamm can decide to stop the match whenever they want and the final score of the performance is l cdot W L f cdot W F Please help Lelle and Flamm coordinate their wins and losses such that the performance is and the total score of the performance is maximized ,"[0, 1, 0, 1, 0]"
Have you ever tried to explain to the coordinator why it is eight hours to the contest and not a single problem has been prepared yet Misha had And this time he has a strong excuse he faced a space time paradox Space and time replaced each other The entire universe turned into an enormous clock face with three hands hour minute and second Time froze and clocks now show the time hours minutes seconds Last time Misha talked with the coordinator at o clock so now he stands on the number on the clock face The contest should be ready by o clock In the terms of paradox it means that Misha has to go to number somehow Note that he doesn t have to move forward only in these circumstances time has no direction Clock hands are very long and Misha cannot get round them He also cannot step over as it leads to the collapse of space time That is if hour clock points 12 and Misha stands at 11 then he cannot move to 1 along the top arc He has to follow all the way round the clock center of course if there are no other hands on his way Given the hands positions and find if Misha can prepare the contest on time or should we say That is find if he can move from to by the clock face ,"[0, 0, 1, 0, 0]"
You are given a directed acyclic graph with vertices and edges There are no self loops or multiple edges between any pair of vertices Graph can be disconnected You should assign labels to all vertices in such a way that Labels form a valid permutation of length an integer sequence such that each integer from to appears exactly once in it If there exists an edge from vertex to vertex then should be smaller than Permutation should be lexicographically smallest among all suitable Find such sequence of labels to satisfy all the conditions ,"[1, 0, 0, 0, 1]"
After bracket sequences Arthur took up number theory He has got a new favorite sequence of length consisting of integers and integer not exceeding This sequence had the following property if you write out the sums of all its segments consisting of consecutive elements then those numbers will form strictly increasing sequence For example for the following sample the sequence of numbers will look as follows that means that sequence meets the described property Obviously the sequence of sums will have elements Somebody we won t say who replaced some numbers in Arthur s sequence by question marks if this number is replaced it is replaced by exactly one question mark We need to restore the sequence so that it meets the required property and also minimize the sum where is the absolute value of ,"[1, 1, 1, 0, 0]"
In the snake exhibition there are n rooms numbered 0 to n 1 arranged in a circle with a snake in each room The rooms are connected by n conveyor belts and the i th conveyor belt connects the rooms i and i 1 bmod n In the other words rooms 0 and 1 1 and 2 ldots n 2 and n 1 n 1 and 0 are connected with conveyor belts The i th conveyor belt is in one of three states If it is clockwise snakes can only go from room i to i 1 bmod n If it is anticlockwise snakes can only go from room i 1 bmod n to i If it is off snakes can travel in either direction Above is an example with 4 rooms where belts 0 and 3 are off 1 is clockwise and 2 is anticlockwise Each snake wants to leave its room and come back to it later A room is if the snake there can leave the room and later come back to it using the conveyor belts How many such rooms are there ,"[0, 0, 1, 0, 0]"
Today Patrick waits for a visit from his friend Spongebob To prepare for the visit Patrick needs to buy some goodies in two stores located near his house There is a meter long road between his house and the first shop and a meter long road between his house and the second shop Also there is a road of length directly connecting these two shops to each other Help Patrick calculate the minimum distance that he needs to walk in order to go to both shops and return to his house Patrick always starts at his house He should visit both shops moving only along the three existing roads and return back to his house He doesn t mind visiting the same shop or passing the same road multiple times The only goal is to minimize the total distance traveled ,"[0, 0, 1, 0, 0]"
A new virus called CodeVid 23 has spread among programmers Rudolf being a programmer was not able to avoid it There are n symptoms numbered from 1 to n that can appear when infected Initially Rudolf has some of them He went to the pharmacy and bought m medicines For each medicine the number of days it needs to be taken is known and the set of symptoms it removes Unfortunately medicines often have side effects Therefore for each medicine the set of symptoms that appear when taking it is also known After reading the instructions Rudolf realized that taking more than one medicine at a time is very unhealthy Rudolph wants to be healed as soon as possible Therefore he asks you to calculate the minimum number of days to remove all symptoms or to say that it is impossible ,"[1, 0, 0, 1, 0]"
Gildong has bought a famous painting software The working screen of cfpaint is square shaped consisting of n rows and n columns of square cells The rows are numbered from 1 to n from top to bottom and the columns are numbered from 1 to n from left to right The position of a cell at row r and column c is represented as r c There are only two colors for the cells in cfpaint black and white There is a tool named in cfpaint The eraser has an integer size k 1 le k le n To use the eraser Gildong needs to click on a cell i j where 1 le i j le n k 1 When a cell i j is clicked all of the cells i j where i le i le i k 1 and j le j le j k 1 become white In other words a square with side equal to k cells and top left corner at i j is colored white A is a row or a column without any black cells Gildong has worked with cfpaint for some time so some of the cells possibly zero or all are currently black He wants to know the maximum number of after using the eraser Help Gildong find the answer to his question ,"[0, 0, 1, 1, 1]"
You are given an undirected graph with n vertices and m edges You have to write a number on each vertex of this graph each number should be either 0 or 1 After that you write a number on each edge equal to the sum of numbers on vertices incident to that edge You have to choose the numbers you will write on the vertices so that there is at least one edge with 0 written on it at least one edge with 1 and at least one edge with 2 How many ways are there to do it Two ways to choose numbers are different if there exists at least one vertex which has different numbers written on it in these two ways ,"[0, 0, 0, 1, 0]"
Qingshan has a string s while Daniel has a string t Both strings only contain texttt 0 and texttt 1 A string a of length k is good if and only if a i ne a i 1 for all i 1 2 ldots k 1 For example texttt 1 texttt 101 texttt 0101 are good while texttt 11 texttt 1001 texttt 001100 are not good Qingshan wants to make s good To do this she can do the following operation any number of times possibly zero insert t to any position of s getting a new s Please tell Qingshan if it is possible to make s good ,"[0, 0, 1, 0, 0]"
Bizon the Champion isn t just attentive he also is very hardworking Bizon the Champion decided to paint his old fence his favorite color orange The fence is represented as vertical planks put in a row Adjacent planks have no gap between them The planks are numbered from the left to the right starting from one the th plank has the width of meter and the height of meters Bizon the Champion bought a brush in the shop the brush s width is meter He can make vertical and horizontal strokes with the brush During a stroke the brush s full surface must touch the fence at all the time see the samples for the better understanding What minimum number of strokes should Bizon the Champion do to fully paint the fence Note that you are allowed to paint the same area of the fence multiple times ,"[1, 0, 0, 1, 0]"
Vlad remembered that he had a series of n tiles and a number k The tiles were numbered from left to right and the i th tile had colour c i If you stand on the tile and start jumping any number of tiles you can get a path of length p The length of the path is the number of tiles you stood on Vlad wants to see if it is possible to get a path of length p such that it ends at tile with index n p is divisible by k the path is divided into blocks of length exactly k each tiles in each block have the same colour the colors in adjacent blocks are not necessarily different For example let n 14 k 3 The colours of the tiles are contained in the array c color red 1 color violet 2 color red 1 color red 1 color gray 7 color orange 5 color green 3 color green 3 color red 1 color green 3 color blue 4 color blue 4 color violet 2 color blue 4 Then we can construct a path of length 6 consisting of 2 blocks color red c 1 rightarrow color red c 3 rightarrow color red c 4 rightarrow color blue c 11 rightarrow color blue c 12 rightarrow color blue c 14 All tiles from the 1 st block will have colour color red textbf 1 from the 2 nd block will have colour color blue textbf 4 It is also possible to construct a path of length 9 in this example in which all tiles from the 1 st block will have colour color red textbf 1 from the 2 nd block will have colour color green textbf 3 and from the 3 rd block will have colour color blue textbf 4 ,"[1, 0, 0, 0, 0]"
Lord Tirek is a centaur and the main antagonist in the season four finale episodes in the series My Little Pony Friendship Is Magic In Twilight s Kingdom Part 1 Tirek escapes from Tartarus and drains magic from ponies to grow stronger The core skill of Tirek is called Absorb Mana It takes all mana from a magic creature and gives them to the caster Now to simplify the problem assume you have ponies numbered from 1 to Each pony has three attributes amount of mana that the pony has at time 0 maximum mana that the pony can have mana regeneration per unit time Lord Tirek will do instructions each of them can be described with three integers The instruction means that at time Tirek will use Absorb Mana on ponies with numbers from to both borders inclusive We ll give you all the instructions in order count how much mana Tirek absorbs for each instruction ,"[0, 0, 0, 0, 1]"
You are given an undirected graph consisting of vertices and edges Instead of giving you the edges that exist in the graph we give you unordered pairs such that there is no edge between and and if some pair of vertices is not listed in the input then there is an edge between these vertices You have to find the number of connected components in the graph and the size of each component A connected component is a set of vertices such that for every two vertices from this set there exists at least one path in the graph connecting these vertices but adding any other vertex to violates this rule ,"[0, 0, 0, 0, 1]"
Mojtaba and Arpa are playing a game They have a list of numbers in the game In a player s turn he chooses a number where is a prime number and is a positive integer such that divides at least one number in the list For each number in the list divisible by call it the player will delete and add to the list The player who can not make a valid choice of and loses Mojtaba starts the game and the players alternatively make moves Determine which one of players will be the winner if both players play optimally ,"[0, 0, 0, 1, 0]"
Polycarp has n binary words A word called binary if it contains only characters and For example these words are binary and Polycarp wants to offer his set of n binary words to play a game words In this game players name words and each next word starting from the second must start with the last character of the previous word The first word can be any For example these sequence of words can be named during the game Word reversal is the operation of reversing the order of the characters For example the word after the reversal becomes the word after the reversal becomes Probably Polycarp has such a set of words that there is no way to put them in the order correspondent to the game rules In this situation he wants to reverse some words from his set so that the final set of n words still contains words i e all words are unique there is a way to put all words of the final set of words in the order so that the final sequence of n words is consistent with the game rules Polycarp wants to reverse minimal number of words Please help him ,"[0, 1, 1, 0, 1]"
Jury picked a polynomial f x a 0 a 1 cdot x a 2 cdot x 2 dots a k cdot x k k le 10 and all a i are integer numbers and 0 le a i 10 6 3 It s guaranteed that there is at least one i such that a i 0 Now jury wants you to find such an integer x 0 that f x 0 equiv 0 mod 10 6 3 or report that there is not such x 0 You can ask no more than 50 queries you ask value x q and jury tells you value f x q mod 10 6 3 Note that printing the answer doesn t count as a query ,"[0, 1, 0, 0, 0]"
One day Vitaly was going home late at night and wondering how many people aren t sleeping at that moment To estimate Vitaly decided to look which windows are lit in the house he was passing by at that moment Vitaly sees a building of floors and windows on each floor On each floor there are flats numbered from to and two consecutive windows correspond to each flat If we number the windows from to from left to right then the th flat of the th floor has windows and in the corresponding row of windows as usual floors are enumerated from the bottom Vitaly thinks that people in the flat aren t sleeping at that moment if of the windows corresponding to this flat has lights on Given the information about the windows of the given house your task is to calculate the number of flats where according to Vitaly people aren t sleeping ,"[0, 0, 1, 0, 0]"
You are given an undirected tree consisting of n vertices An undirected tree is a connected undirected graph with n 1 edges Your task is to add the minimum number of edges in such a way that the length of the shortest path from the vertex 1 to any other vertex is at most 2 Note that you are not allowed to add loops and multiple edges ,"[1, 0, 0, 1, 0]"
You are given two positive integers n and k Your task is to find a string s such that all possible strings of length n that can be formed using the first k lowercase English alphabets occur as a subsequence of s If there are multiple answers print the one with the smallest length If there are still multiple answers you may print any of them A string a is called a subsequence of another string b if a can be obtained by deleting some possibly zero characters from b without changing the order of the remaining characters ,"[1, 0, 0, 0, 0]"
The flag of Berland is such rectangular field that satisfies following conditions Flag consists of three colors which correspond to letters and Flag consists of three equal in width and height stripes parralel to each other and to sides of the flag Each stripe has Each color should be used in You are given a field consisting of characters and Output without quotes if this field corresponds to correct flag of Berland Otherwise print without quotes ,"[0, 0, 1, 0, 0]"
String can be called if it consists of characters and and there are no redundant leading zeroes Here are some examples You are given a string You can perform two different operations on this string swap any pair of adjacent characters for example replace with for example Let be such a number that is its binary representation string is less than some other string iff Your task is to find the minimum string that you can obtain from the given one using the operations described above You can use these operations any number of times in any order or even use no operations at all ,"[0, 0, 1, 0, 0]"
Sereja showed an interesting game to his friends The game goes like that Initially there is a table with an empty cup and water mugs on it Then all players take turns to move During a move a player takes a non empty mug of water and pours all water from it into the cup If the cup overfills then we assume that this player lost As soon as Sereja s friends heard of the game they wanted to play it Sereja on the other hand wanted to find out whether his friends can play the game in such a way that there are no losers You are given the volumes of all mugs and the cup Also you know that Sereja has friends Determine if Sereja s friends can play the game so that nobody loses ,"[0, 0, 1, 0, 0]"
Daemon Targaryen decided to stop looking like a Metin2 character He turned himself into the most beautiful thing a bracket sequence For a bracket sequence we can do two kind of operations Select one of its substrings dagger and cyclic shift it to the right For example after a cyclic shift to the right will become Insert any bracket opening or closing wherever you want in the sequence We define the of a bracket sequence as the number of such operations to make it balanced ddagger Given a bracket sequence s of length n find the sum of costs across all its frac n n 1 2 non empty substrings Note that for each substring we calculate the cost dagger A string a is a substring of a string b if a can be obtained from b by deletion of several possibly zero or all characters from the beginning and several possibly zero or all characters from the end ddagger A sequence of brackets is called balanced if one can turn it into a valid math expression by adding characters and 1 For example sequences and are balanced while and are not ,"[1, 0, 0, 1, 1]"
Artsem is on vacation and wants to buy souvenirs for his two teammates There are souvenir shops along the street In th shop Artsem can buy one souvenir for dollars and he cannot buy more than one souvenir in one shop He doesn t want to introduce envy in his team so he wants to buy two souvenirs with least possible difference in price Artsem has visited the shopping street times For some strange reason on the th day only shops with numbers from to were operating weird yes it is but have you ever tried to come up with a reasonable legend for a range query problem For each visit Artsem wants to know the minimum possible difference in prices of two different souvenirs he can buy in the opened shops In other words for each Artsem s visit you should find the minimum possible value of where ,"[0, 0, 0, 0, 1]"
In this task you need to process a set of stock exchange orders and use them to create An is an instruction of some participant to buy or sell stocks on stock exchange The order number has price direction buy or sell and integer This means that the participant is ready to buy or sell stocks at price for one stock A value is also known as a of an order All orders with the same price and direction are merged into one order with price and direction The volume of such order is a sum of volumes of the initial orders An order book is a list of aggregated orders the first part of which contains sell orders sorted by price in descending order the second contains buy orders also sorted by price in descending order An order book of depth contains best aggregated orders for each direction A buy order is better if it has higher price and a sell order is better if it has lower price If there are less than aggregated orders for some direction then all of them will be in the final order book You are given stock exhange orders Your task is to print order book of depth for these orders ,"[1, 0, 1, 0, 1]"
You play a strategic video game In this game you control a large army and your goal is to conquer n castles of your opponent Let s describe the game process in detail Initially you control an army of k warriors Your enemy controls n castles to conquer the i th castle you need at least a i warriors you are so good at this game that you don t lose any warriors while taking over a castle so your army stays the same after the fight After you take control over a castle you recruit new warriors into your army formally after you capture the i th castle b i warriors join your army Furthermore after capturing a castle or later you can defend it if you leave at least one warrior in a castle this castle is considered Each castle has an importance parameter c i and your total score is the sum of importance values over all defended castles There are two ways to defend a castle if you are currently in the castle i you may leave one warrior to defend castle i there are m one way portals connecting the castles Each portal is characterised by two numbers of castles u and v A portal can be used as follows if you are currently in the castle u you may send one warrior to defend castle v Obviously when you order your warrior to defend some castle he leaves your army You capture the castles in fixed order you have to capture the first one then the second one and so on After you capture the castle i but only before capturing castle i 1 you may recruit new warriors from castle i leave a warrior to defend castle i and use any number of portals leading from castle i to other castles having smaller numbers As soon as you capture the next castle these actions for castle i won t be available to you If during some moment in the game you don t have enough warriors to capture the next castle you lose Your goal is to maximize the sum of importance values over all defended castles note that you may hire new warriors in the last castle defend it and use portals leading from it even after you capture it your score will be calculated afterwards Can you determine an optimal strategy of capturing and defending the castles ,"[1, 0, 1, 1, 1]"
Vasya and Petya take part in a Codeforces round The round lasts for two hours and contains five problems For this round the dynamic problem scoring is used If you were lucky not to participate in any Codeforces round with dynamic problem scoring here is what it means The maximum point value of the problem depends on the ratio of the number of participants who solved the problem to the total number of round participants Everyone who made at least one submission is considered to be participating in the round Pay attention to the range bounds For example if 40 people are taking part in the round and 10 of them solve a particular problem then the solvers fraction is equal to and the problem s maximum point value is equal to 1500 If the problem s maximum point value is equal to then for each whole minute passed from the beginning of the contest to the moment of the participant s correct submission the participant loses points For example if the problem s maximum point value is 2000 and the participant submits a correct solution to it 40 minutes into the round this participant will be awarded with points for this problem There are participants in the round including Vasya and Petya For each participant and each problem the number of minutes which passed between the beginning of the contest and the submission of this participant to this problem is known It s also possible that this participant made no submissions to this problem With two seconds until the end of the round all participants submissions have passed pretests and not a single hack attempt has been made Vasya believes that no more submissions or hack attempts will be made in the remaining two seconds and every submission will pass the system testing Unfortunately Vasya is a cheater He has registered new accounts for the round Now Vasya can submit any of his solutions from these new accounts in order to change the maximum point values of the problems Vasya can also submit any wrong solutions to any problems Note that Vasya can not submit correct solutions to the problems he hasn t solved Vasya seeks to score strictly more points than Petya in the current round Vasya has already prepared the scripts which allow to obfuscate his solutions and submit them into the system from any of the new accounts in just fractions of seconds However Vasya doesn t want to make his cheating too obvious so he wants to achieve his goal while making submissions from the smallest possible number of new accounts Find the smallest number of new accounts Vasya needs in order to beat Petya provided that Vasya s assumptions are correct or report that Vasya can t achieve his goal ,"[1, 0, 0, 0, 0]"
There is a square matrix consisting of n rows and n columns of cells both numbered from 1 to n The cells are colored white or black Cells from 1 to a i are black and cells from a i 1 to n are white in the i th column You want to place m integers in the matrix from 1 to m There are two rules each cell should contain at most one integer black cells should not contain integers The of the matrix is the number of such j that j 1 is written in the same row in the next column as j in the neighbouring cell to the right What s the maximum possible beauty of the matrix ,"[1, 1, 0, 0, 1]"
The sequence is called if it is non decreasing or non increasing For example sequnces 3 1 1 0 and 1 2 3 100 are ordered but the sequence 1 3 3 1 is not You are given a sequence of numbers You are to find it s shortest subsequence which is not ordered A subsequence is a sequence that can be derived from the given sequence by deleting zero or more elements without changing the order of the remaining elements ,"[1, 0, 0, 0, 0]"
There are servers in a laboratory each of them can perform tasks Each server has a unique id integer from to It is known that during the day tasks will come the th of them is characterized with three integers the moment in seconds in which the task will come the number of servers needed to perform it and the time needed to perform this task in seconds All are distinct To perform the th task you need servers which are unoccupied in the second After the servers begin to perform the task each of them will be busy over the next seconds Thus they will be busy in seconds For performing the task servers with the smallest ids will be chosen from all the unoccupied servers If in the second there are not enough unoccupied servers the task is ignored Write the program that determines which tasks will be performed and which will be ignored ,"[0, 0, 1, 0, 0]"
Police headquarter is monitoring signal on different frequency levels They have got two suspiciously encoded strings and from two different frequencies as signals They are suspecting that these two strings are from two different criminals and they are planning to do some evil task Now they are trying to find a common substring of minimum length between these two strings The substring must occur only once in the first string and also it must occur only once in the second string Given two strings and consist of lowercase Latin letters find the smallest by length common substring of both and where is a unique substring in and also in See notes for formal definition of substring and uniqueness ,"[0, 0, 0, 1, 0]"
Polygon is a system which allows to create programming tasks in a simple and professional way When you add a test to the problem the corresponding form asks you for the test index As in most cases it is clear which index the next test will have the system suggests the default value of the index It is calculated as the smallest positive integer which is not used as an index for some previously added test You are to implement this feature Create a program which determines the default index of the next test given the indexes of the previously added tests ,"[0, 0, 1, 0, 0]"
There are incoming messages for Vasya The th message is going to be received after minutes Each message has a cost which equals to initially After being received the cost of a message decreases by each minute it can become negative Vasya can read any message after receiving it at any moment of time After reading the message Vasya s bank account receives the current cost of this message Initially Vasya s bank account is at Also each minute Vasya s bank account receives where is the amount of received but unread messages Vasya s messages are very important to him and because of that he wants to have all messages read after minutes Determine the maximum amount of money Vasya s bank account can hold after minutes ,"[0, 1, 0, 0, 0]"
Kyoya Ootori has a bag with colored balls that are colored with different colors The colors are labeled from to Balls of the same color are indistinguishable He draws balls from the bag one by one until the bag is empty He noticed that he drew the last ball of color before drawing the last ball of color for all from to Now he wonders how many different ways this can happen ,"[0, 1, 0, 1, 0]"
You have n sets of integers S 1 S 2 ldots S n We call a set S if it is possible to choose some possibly none of the sets S 1 S 2 ldots S n so that S is equal to their union dagger If you choose none of S 1 S 2 ldots S n their union is an empty set Find the maximum number of elements in an attainable S such that S neq S 1 cup S 2 cup ldots cup S n dagger The union of sets A 1 A 2 ldots A k is defined as the set of elements present in at least one of these sets It is denoted by A 1 cup A 2 cup ldots cup A k For example 2 4 6 cup 2 3 cup 3 6 7 2 3 4 6 7 ,"[1, 0, 0, 0, 0]"
Now it s time of Olympiads Vanya and Egor decided to make his own team to take part in a programming Olympiad They ve been best friends ever since primary school and hopefully that can somehow help them in teamwork For each team Olympiad Vanya takes his play cards with numbers He takes only the cards containing numbers 1 and 0 The boys are very superstitious They think that they can do well at the Olympiad if they begin with laying the cards in a row so that there wouldn t be a pair of any side adjacent cards with zeroes in a row there wouldn t be a group of three consecutive cards containing numbers one Today Vanya brought cards with zeroes and cards with numbers one The number of cards was so much that the friends do not know how to put all those cards in the described way Help them find the required arrangement of the cards or else tell the guys that it is impossible to arrange cards in such a way ,"[1, 0, 1, 0, 0]"
At the children s festival children were dancing in a circle When music stopped playing the children were still standing in a circle Then Lena remembered that her parents gave her a candy box with exactly k candies Wilky May Lena is not a greedy person so she decided to present all her candies to her friends in the circle Lena knows that some of her friends have a sweet tooth and others do not Sweet tooth takes out of the box two candies if the box has at least two candies and otherwise takes one The rest of Lena s friends always take exactly one candy from the box Before starting to give candies Lena step out of the circle after that there were exactly n people remaining there Lena numbered her friends in a clockwise order with positive integers starting with 1 in such a way that index 1 was assigned to her best friend Roma Initially Lena gave the box to the friend with number l after that each friend starting from friend number l took candies from the box and passed the box to the next friend in clockwise order The process ended with the friend number r taking the last candy or two who knows and the empty box Please note that it is possible that some of Lena s friends took candy from the box several times that is the box could have gone several full circles before becoming empty Lena does not know which of her friends have a sweet tooth but she is interested in the maximum possible number of friends that can have a sweet tooth If the situation could not happen and Lena have been proved wrong in her observations please tell her about this ,"[0, 1, 0, 0, 0]"
Your program fails again This time it gets The problem is about a test containing n one choice questions Each of the questions contains k options and only one of them is correct The answer to the i th question is h i and if your answer of the question i is h i you earn 1 point otherwise you earn 0 points for this question The values h 1 h 2 dots h n are known to you in this problem However you have a mistake in your program It moves the answer clockwise Consider all the n answers are written in a circle Due to the mistake in your program they are shifted by one cyclically Formally the mistake moves the answer for the question i to the question i bmod n 1 So it moves the answer for the question 1 to question 2 the answer for the question 2 to the question 3 the answer for the question n to the question 1 We call all the n answers together an There are k n possible answer suits in total You re wondering how many answer suits satisfy the following condition You need to find the answer modulo 998 244 353 For example if n 5 and your answer suit is a 1 2 3 4 5 it will submitted as a 5 1 2 3 4 because of a mistake If the correct answer suit is h 5 2 2 3 4 the answer suit a earns 1 point and the answer suite a earns 4 points Since 4 1 the answer suit a 1 2 3 4 5 should be counted ,"[0, 0, 0, 1, 0]"
Gildong s town has a train system that has 100 trains that travel from the bottom end to the top end and 100 trains that travel from the left end to the right end The trains starting from each side are numbered from 1 to 100 respectively and all trains have the same speed Let s take a look at the picture below The train system can be represented as coordinates on a 2D plane The i th train starting at the bottom end is initially at i 0 and will be at i T after T minutes and the i th train starting at the left end is initially at 0 i and will be at T i after T minutes All trains arrive at their destinations after 101 minutes However Gildong found that some trains scheduled to depart at a specific time simultaneously are very dangerous At this time n trains are scheduled to depart from the bottom end and m trains are scheduled to depart from the left end If two trains are both at x y at the same time for some x and y they will crash into each other Therefore he is asking you to find the number of trains that should be cancelled to prevent all such crashes ,"[0, 0, 1, 0, 0]"
